Make,Model,CO2 Emissions(g/km)
MASERATI,GRANTURISMO,347
MASERATI,GRANTURISMO CONVERTIBLE,352
MASERATI,QUATTROPORTE GTS,334
MASERATI,QUATTROPORTE SQ4,301
MAZDA,CX-5,189
MAZDA,CX-5 4WD,196
MAZDA,CX-9,283
MAZDA,CX-9 4WD,290
MAZDA,MAZDA2,177
MAZDA,MAZDA3 4-DOOR,159
MAZDA,MAZDA3 4-DOOR (i-ELOOP),168
MAZDA,MAZDA3 4-DOOR (SIL),161
MAZDA,MAZDA3 5-DOOR,163
MAZDA,MAZDA3 5-DOOR (i-ELOOP),168
MAZDA,MAZDA3 5-DOOR (SIL),166
MAZDA,MAZDA5,223
MAZDA,MAZDA6,175
MAZDA,MAZDA6 (i-ELOOP),168
MAZDA,MX-5,235
MERCEDES-BENZ,B 250,184
MERCEDES-BENZ,C 250,216
MERCEDES-BENZ,C 250 COUPE,216
MERCEDES-BENZ,C 300 4MATIC FFV,242
MERCEDES-BENZ,C 350,242
MERCEDES-BENZ,C 350 4MATIC,239
MERCEDES-BENZ,C 350 4MATIC COUPE,244
MERCEDES-BENZ,C 350 COUPE,242
MERCEDES-BENZ,C 63 AMG,347
MERCEDES-BENZ,C 63 AMG COUPE,352
MERCEDES-BENZ,CL 550 4MATIC,304
MERCEDES-BENZ,CL 63 AMG,308
MERCEDES-BENZ,CLA 250,179
MERCEDES-BENZ,CLA 45 AMG 4MATIC,212
MERCEDES-BENZ,CLS 550 4MATIC,264
MERCEDES-BENZ,CLS 63 AMG 4MATIC,301
MERCEDES-BENZ,CLS 63 AMG S 4MATIC,301
MERCEDES-BENZ,E 250 BLUETEC 4MATIC,194
MERCEDES-BENZ,E 300 4MATIC,235
MERCEDES-BENZ,E 350 4MATIC,230
MERCEDES-BENZ,E 350 4MATIC COUPE,239
MERCEDES-BENZ,E 350 4MATIC WAGON,242
MERCEDES-BENZ,E 350 CABRIOLET,239
MERCEDES-BENZ,E 350 COUPE,235
MERCEDES-BENZ,E 400 HYBRID,202
MERCEDES-BENZ,E 550 4MATIC,267
MERCEDES-BENZ,E 550 CABRIOLET,269
MERCEDES-BENZ,E 550 COUPE,262
MERCEDES-BENZ,E 63 AMG 4MATIC,297
MERCEDES-BENZ,E 63 AMG 4MATIC WAGON,310
MERCEDES-BENZ,E 63 AMG S 4MATIC,297
