Make,Model,CO2 Emissions(lbs/mile)
MERCEDES-BENZ,C 350 4MATIC,0.327467957
MERCEDES-BENZ,C 350 4MATIC COUPE,0.334318752
MERCEDES-BENZ,C 350 COUPE,0.331578434
MERCEDES-BENZ,C 63 AMG,0.47544511
MERCEDES-BENZ,C 63 AMG COUPE,0.482295904
MERCEDES-BENZ,CL 550 4MATIC,0.416528281
MERCEDES-BENZ,CL 63 AMG,0.422008916
MERCEDES-BENZ,CLA 250,0.245258428
MERCEDES-BENZ,CLA 45 AMG 4MATIC,0.290473669
MERCEDES-BENZ,CLS 550 4MATIC,0.361721928
MERCEDES-BENZ,CLS 63 AMG 4MATIC,0.412417804
MERCEDES-BENZ,CLS 63 AMG S 4MATIC,0.412417804
MERCEDES-BENZ,E 250 BLUETEC 4MATIC,0.265810811
MERCEDES-BENZ,E 300 4MATIC,0.321987322
MERCEDES-BENZ,E 350 4MATIC,0.315136528
MERCEDES-BENZ,E 350 4MATIC COUPE,0.327467957
MERCEDES-BENZ,E 350 4MATIC WAGON,0.331578434
MERCEDES-BENZ,E 350 CABRIOLET,0.327467957
MERCEDES-BENZ,E 350 COUPE,0.321987322
MERCEDES-BENZ,E 400 HYBRID,0.276772081
MERCEDES-BENZ,E 550 4MATIC,0.365832404
MERCEDES-BENZ,E 550 CABRIOLET,0.368572722
MERCEDES-BENZ,E 550 COUPE,0.35898161
MERCEDES-BENZ,E 63 AMG 4MATIC,0.406937169
MERCEDES-BENZ,E 63 AMG 4MATIC WAGON,0.424749234
MERCEDES-BENZ,E 63 AMG S 4MATIC,0.406937169
MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,0.424749234
MERCEDES-BENZ,G 550,0.574096545
MERCEDES-BENZ,G 63 AMG,0.557654639
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,0.443931457
MERCEDES-BENZ,GL 450 4MATIC,0.479555586
MERCEDES-BENZ,GL 550 4MATIC,0.491887016
MERCEDES-BENZ,GL 63 AMG,0.497367651
MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,0.315136528
MERCEDES-BENZ,GLK 350 4MATIC,0.356241293
MERCEDES-BENZ,ML 350 4MATIC FFV,0.380904151
MERCEDES-BENZ,ML 350 BLUETEC 4MATIC,0.380904151
MERCEDES-BENZ,ML 550 4MATIC,0.448041933
MERCEDES-BENZ,ML 63 AMG 4MATIC,0.487776539
MERCEDES-BENZ,S 550 4MATIC LWB,0.380904151
MERCEDES-BENZ,S 550 4MATIC SWB,0.378163834
MERCEDES-BENZ,S 63 AMG 4MATIC,0.416528281
MERCEDES-BENZ,SL 550,0.368572722
MERCEDES-BENZ,SL 63 AMG,0.400086375
MERCEDES-BENZ,SL 65 AMG,0.448041933
MERCEDES-BENZ,SLK 250,0.280882558
